1.287589	0.000000	-0.000685
1.258304	0.151965	0.002816
1.265277	0.303930	0.006271
1.265491	0.518826	0.009682
1.276826	0.670791	0.013037
1.302928	0.885722	0.016342
1.302178	1.037687	0.019588
1.300890	1.252583	0.022778
1.298423	1.404548	0.025903
1.295563	1.556513	0.028965
1.306862	1.771445	0.031963
1.289877	1.923410	0.034892
1.303608	2.138306	0.037753
1.302285	2.290271	0.040538
1.308614	2.442235	0.043251
1.326528	2.657132	0.045888
1.319555	2.809096	0.048447
1.344585	3.024028	0.050931
1.346265	3.175993	0.053327
1.355741	3.327958	0.055643
1.373905	3.542854	0.057878
1.365717	3.694819	0.060026
1.385705	3.909751	0.062090
1.383094	4.061716	0.064061
1.379161	4.213680	0.065946
1.390710	4.428577	0.067747
1.375478	4.580541	0.069453
1.395144	4.795437	0.071073
1.395752	4.947402	0.072597
1.405085	5.099367	0.074029
1.404012	5.314299	0.075374
1.419673	5.466264	0.076621
1.409733	5.681160	0.077782
1.397397	5.833125	0.078845
1.421461	5.985090	0.079815
1.456073	6.200021	0.080699
1.460900	6.351986	0.081485
1.465906	6.503951	0.082178
1.454929	6.655916	0.082780
1.432009	6.870812	0.083297
1.443773	7.022777	0.083716
1.443308	7.174742	0.084049
1.455394	7.389674	0.084295
1.463761	7.541638	0.084449
1.481568	7.693603	0.084516
1.476133	7.908499	0.084499
1.468123	8.060464	0.084396
1.483212	8.212429	0.084209
1.489935	8.364394	0.083937
1.464333	8.579290	0.083588
1.470304	8.731255	0.083157
1.480745	8.883220	0.082648
1.474524	9.035184	0.082061
1.474273	9.250116	0.081404
1.514785	9.402081	0.080668
1.527336	9.554046	0.079860
1.522580	9.768942	0.078990
1.529124	9.920907	0.078045
1.553724	10.072872	0.077035
1.559767	10.224836	0.075961
1.535989	10.439768	0.074829
1.544642	10.591733	0.073634
1.557621	10.743698	0.072381
1.564451	10.895663	0.071075
1.537848	11.110559	0.069716
1.545178	11.262524	0.068307
1.559695	11.414489	0.066844
